borrower_type,household_size,income_month_1,income_month_2,income_month_3,income_month_4,income_month_5,income_month_6,employment_type,months_at_current_job,num_income_sources,upi_transactions_per_month,upi_avg_transaction_amount,upi_months_active,mobile_wallet_used,utility_bills_paid,utility_bills_total,rent_paid_on_time_months,total_rental_months,same_number_since_year,avg_monthly_recharge_amount,recharge_frequency_per_month,ecomm_orders_per_month,ecomm_return_rate,prepaid_orders_ratio,survey_q1,survey_q2,survey_q3,survey_q4,survey_q5,survey_q6,survey_q7,survey_q8,loan_amount_requested,loan_purpose,loan_tenure_months,defaulted
rural,6,9829.73,10756.15,18151.44,11531.23,6712.36,17350.12,seasonal,27,2,55.4,1520.24,9.0,0.0,7,24,,,2021.0,233.41,1.18,4.4,0.364,0.4428904870116165,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,147200.0,consumption,8,0
rural,7,6378.55,6964.94,12527.27,11953.9,6644.32,10760.21,self-employed,16,1,0.0,1263.74,19.0,0.0,1,15,9.0,23.0,2022.0,338.92,1.26,5.0,0.3,0.205423814809973,1.0,2.0,3.0,1.0,3.0,2.0,4.0,3.0,17600.0,agriculture,25,0
gig,4,25101.27,25669.69,25424.22,17571.78,34898.63,20993.04,salaried-gig,12,3,16.5,1514.9,10.0,0.0,8,17,9.0,14.0,2019.0,351.37,0.88,10.7,0.425,0.3090355753257253,1.0,2.0,3.0,2.0,1.0,,4.0,2.0,306400.0,consumption,50,0
rural,7,14389.09,12830.1,17235.94,11011.82,14348.94,27430.91,seasonal,38,3,,,,,17,23,11.0,14.0,2016.0,310.54,1.83,8.0,0.255,0.9363869709891612,3.0,2.0,3.0,2.0,3.0,4.0,3.0,3.0,44900.0,consumption,34,0
gig,2,28748.66,41936.48,39156.74,55854.57,27666.72,5173.22,salaried-gig,28,4,63.4,2635.93,16.0,1.0,11,14,11.0,13.0,2013.0,522.76,1.89,12.8,0.343,0.9550586812994556,3.0,3.0,2.0,3.0,3.0,4.0,2.0,4.0,299100.0,business,44,0
gig,5,21612.64,28843.62,21408.96,51109.47,28075.58,24785.94,salaried-gig,26,3,60.9,2958.3,16.0,1.0,9,24,10.0,22.0,2018.0,544.02,2.24,9.5,0.189,0.3668859884949772,4.0,5.0,3.0,3.0,3.0,4.0,2.0,3.0,28400.0,consumption,7,0
gig,2,84765.92,48500.18,46229.1,32099.58,75283.36,52827.99,daily-wage,30,4,120.0,3508.29,34.0,1.0,13,14,16.0,24.0,2012.0,652.32,2.25,13.3,0.13,0.9971313075588936,5.0,4.0,2.0,3.0,4.0,4.0,2.0,4.0,50000.0,medical,14,0
gig,5,19509.89,18366.76,32708.79,30905.94,15447.09,22087.61,salaried-gig,14,2,13.5,1316.87,8.0,0.0,7,24,3.0,18.0,2022.0,493.96,1.08,4.1,0.321,0.1750226761557828,3.0,3.0,3.0,2.0,3.0,,4.0,3.0,207500.0,business,30,0
rural,7,6981.47,5730.27,12300.51,6259.69,7774.88,12803.72,seasonal,9,1,38.6,1196.37,0.0,0.0,1,17,3.0,15.0,2022.0,280.42,1.3,0.0,,,2.0,1.0,4.0,1.0,1.0,1.0,4.0,1.0,173300.0,agriculture,44,1
rural,6,15740.74,19739.42,26040.09,18046.48,17674.18,31260.01,seasonal,46,3,88.2,2973.27,19.0,0.0,20,22,4.0,7.0,2013.0,394.29,1.95,0.0,,,4.0,4.0,2.0,5.0,4.0,3.0,2.0,2.0,293400.0,consumption,46,0
gig,5,46360.6,27232.6,29195.74,24575.52,26729.89,30896.96,salaried-gig,28,4,76.2,2402.93,25.0,1.0,7,24,8.0,9.0,2018.0,634.29,1.86,3.9,0.245,0.5854164279153087,4.0,4.0,1.0,3.0,2.0,3.0,4.0,4.0,244900.0,consumption,25,0
gig,2,32912.41,44583.73,13696.28,33133.45,72545.13,30125.08,salaried-gig,36,4,67.4,3304.98,29.0,0.0,15,18,6.0,8.0,2021.0,677.31,2.77,6.5,0.223,0.5529587210852751,4.0,4.0,2.0,,4.0,4.0,1.0,5.0,103300.0,consumption,11,0
rural,4,7937.03,7463.84,15983.82,8261.84,9516.72,16626.97,seasonal,18,2,39.6,1144.59,6.0,0.0,3,6,8.0,16.0,2020.0,352.34,1.05,0.0,,,2.0,3.0,3.0,2.0,2.0,,4.0,2.0,369800.0,business,36,1
gig,5,15892.05,33945.02,18540.12,26399.28,16506.9,20694.36,self-employed,10,2,23.3,1640.51,0.0,1.0,0,14,2.0,11.0,2021.0,542.27,1.59,4.0,0.505,0.2603672035200861,3.0,2.0,5.0,3.0,3.0,3.0,4.0,2.0,290200.0,business,53,1
gig,4,7449.43,11354.65,13501.24,7916.42,17903.91,10763.21,daily-wage,1,2,0.0,888.82,4.0,0.0,0,18,2.0,8.0,2024.0,478.36,0.5,5.6,0.467,0.0170021863331716,2.0,1.0,5.0,1.0,2.0,,4.0,3.0,97400.0,business,53,0
migrant,2,27057.62,20020.2,24255.42,26216.93,25081.53,20642.07,self-employed,13,3,63.5,2074.41,12.0,0.0,11,16,3.0,11.0,2020.0,686.89,1.68,7.8,0.269,0.4443839884950953,3.0,2.0,3.0,3.0,4.0,2.0,3.0,1.0,206100.0,education,40,0
gig,2,27221.53,31544.84,25645.57,33745.18,21235.61,36277.06,salaried-gig,13,2,65.7,1773.59,10.0,0.0,2,18,10.0,22.0,2018.0,412.64,1.13,2.2,0.325,0.4284874338868738,4.0,2.0,4.0,2.0,2.0,4.0,3.0,3.0,369800.0,consumption,41,0
migrant,1,9370.05,19505.87,18436.06,18087.97,15046.08,16377.66,self-employed,5,2,49.2,625.93,3.0,0.0,1,12,,,2023.0,518.64,1.04,0.0,,,2.0,2.0,3.0,4.0,2.0,2.0,4.0,2.0,480600.0,business,47,0
rural,6,7544.2,6088.55,14515.49,6572.98,8210.48,14800.11,daily-wage,12,2,16.5,921.82,0.0,0.0,4,18,0.0,23.0,2021.0,134.06,0.96,0.0,,,1.0,2.0,3.0,,2.0,2.0,5.0,2.0,456300.0,medical,32,1
gig,2,48918.06,24276.9,33920.41,42305.47,42519.55,37627.37,salaried-gig,26,4,89.6,2831.45,21.0,0.0,9,9,16.0,16.0,2012.0,641.93,2.11,11.6,0.24,0.6252345464862584,4.0,3.0,2.0,3.0,4.0,,2.0,4.0,53900.0,medical,26,0
rural,5,18953.4,17667.49,20311.74,15004.1,15208.44,25119.25,daily-wage,46,4,64.5,3047.53,23.0,0.0,13,15,20.0,23.0,2016.0,362.49,1.94,15.2,0.216,0.7477772327987297,3.0,5.0,3.0,3.0,4.0,3.0,2.0,4.0,300000.0,business,54,0
rural,7,7345.14,11651.34,16327.94,9179.27,9778.75,16126.11,self-employed,21,1,,,,,1,14,,,2022.0,314.09,0.66,0.0,,,4.0,2.0,4.0,2.0,2.0,1.0,4.0,2.0,180100.0,business,24,1
migrant,3,11344.73,21624.44,23746.67,22893.73,26875.47,22109.1,daily-wage,4,2,61.8,1940.4,9.0,1.0,6,20,3.0,6.0,2018.0,448.24,1.26,5.1,0.288,0.5899992975492787,3.0,3.0,4.0,2.0,4.0,3.0,3.0,4.0,160300.0,medical,12,0
gig,4,37583.0,36006.15,22453.86,45222.91,39584.61,27301.4,daily-wage,22,4,67.6,2203.3,14.0,0.0,13,20,14.0,17.0,2016.0,583.33,1.59,7.8,0.239,0.2869280407240218,3.0,2.0,3.0,4.0,3.0,3.0,2.0,4.0,345900.0,education,13,0
gig,2,37359.53,22980.76,31058.2,15977.74,17400.16,26942.0,salaried-gig,18,3,23.5,1572.14,10.0,0.0,4,6,4.0,7.0,2021.0,498.86,1.55,3.8,0.278,0.3617128670604031,2.0,3.0,3.0,4.0,3.0,2.0,2.0,3.0,115900.0,consumption,38,0
migrant,4,29756.73,28268.03,27583.08,23382.65,29063.4,29555.62,daily-wage,10,2,73.4,2411.36,17.0,1.0,5,11,13.0,17.0,2022.0,791.05,1.84,12.0,0.219,0.5339597198879947,4.0,4.0,3.0,,4.0,3.0,2.0,4.0,413000.0,medical,40,0
rural,6,11774.24,10715.4,16549.73,9373.54,10025.32,16727.81,seasonal,29,2,30.0,1861.29,16.0,0.0,2,11,6.0,12.0,,242.19,1.68,0.0,,,3.0,2.0,4.0,2.0,2.0,4.0,4.0,3.0,166100.0,consumption,40,0
rural,7,15009.64,16556.12,28089.22,11918.14,14032.06,24557.21,self-employed,46,2,,,,,14,23,11.0,19.0,2015.0,345.04,2.73,0.0,,,4.0,4.0,3.0,5.0,3.0,3.0,3.0,4.0,56900.0,consumption,48,0
rural,6,9444.5,8590.62,16115.84,9282.06,10038.5,19875.69,self-employed,20,2,3.5,1698.25,5.0,0.0,14,23,3.0,18.0,2019.0,100.0,1.23,0.0,,,3.0,2.0,4.0,,2.0,,4.0,2.0,469900.0,business,47,1
rural,7,11753.36,11840.67,22762.63,12247.48,15144.09,20382.19,seasonal,27,2,,,,,4,15,,,2018.0,255.23,1.57,7.3,0.276,0.2741848439927422,4.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,96600.0,agriculture,10,0
migrant,1,16863.5,17265.16,18806.08,15848.31,21637.53,17279.42,daily-wage,2,2,22.6,1059.82,7.0,0.0,5,17,7.0,19.0,2022.0,490.28,0.5,1.7,0.378,0.5645541331198243,3.0,2.0,4.0,3.0,2.0,,4.0,3.0,139100.0,education,36,0
gig,4,23895.04,22783.98,22465.98,5908.28,13267.12,15052.78,daily-wage,11,3,27.6,1001.94,5.0,0.0,0,11,5.0,22.0,,379.88,1.05,2.7,0.325,0.1034089076868911,2.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,125700.0,consumption,49,0
gig,2,22192.61,26729.69,30195.84,20014.9,19671.68,26353.17,salaried-gig,16,3,65.5,1286.64,5.0,1.0,8,18,4.0,18.0,2020.0,529.39,1.66,7.6,0.349,0.3071757752345875,3.0,2.0,4.0,2.0,2.0,2.0,3.0,3.0,213200.0,consumption,52,0
migrant,4,24285.72,27018.36,26923.45,28243.81,27121.39,23758.06,salaried-gig,9,3,59.6,2149.0,6.0,0.0,3,7,9.0,16.0,2021.0,601.92,1.94,11.6,0.27,0.9446752428429273,3.0,3.0,3.0,3.0,2.0,2.0,1.0,2.0,311600.0,education,8,0
rural,6,14751.25,9742.59,19449.35,11664.68,11298.79,16468.88,daily-wage,25,3,,,,,9,11,,,2017.0,251.61,1.84,1.7,0.302,0.6949452931562382,1.0,2.0,4.0,2.0,2.0,3.0,3.0,2.0,256800.0,agriculture,33,0
migrant,4,16644.65,17790.82,19089.43,19201.49,25273.43,22838.47,daily-wage,12,2,33.3,,9.0,0.0,3,10,4.0,8.0,2023.0,483.93,1.43,2.9,0.305,0.1218201978405644,2.0,3.0,5.0,1.0,3.0,2.0,3.0,3.0,162800.0,education,53,0
migrant,2,22191.73,22080.76,26985.85,28294.07,29182.81,30172.53,self-employed,17,2,65.6,1908.57,17.0,0.0,6,19,,,2018.0,594.05,2.12,9.9,0.244,0.7420506457907613,2.0,3.0,3.0,3.0,3.0,4.0,2.0,4.0,314600.0,education,8,0
gig,5,33933.81,40195.49,14949.4,28870.1,12732.7,21027.17,daily-wage,10,3,18.8,1554.99,4.0,0.0,3,16,8.0,20.0,2017.0,651.45,1.59,7.0,0.364,0.5565252769103377,2.0,2.0,3.0,2.0,3.0,3.0,2.0,4.0,201900.0,business,54,0
gig,3,28154.28,6101.81,31776.58,14545.04,18176.2,28163.76,self-employed,21,3,58.9,1462.41,8.0,1.0,3,6,,,2020.0,612.3,1.5,3.0,0.243,0.7582162447865148,4.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,191400.0,business,57,0
migrant,3,20219.93,24434.39,26322.48,25168.69,26653.56,23133.05,self-employed,4,3,24.3,1857.98,15.0,1.0,4,6,5.0,12.0,2017.0,596.38,1.82,3.7,0.382,0.7206675363125904,3.0,3.0,3.0,3.0,2.0,2.0,4.0,3.0,465700.0,business,46,0
gig,4,48117.01,2000.0,41899.53,46781.19,45846.2,51253.73,salaried-gig,29,3,91.8,3336.33,32.0,0.0,11,17,,,2014.0,498.25,2.95,11.8,0.167,0.9881642467256548,4.0,4.0,3.0,4.0,4.0,4.0,2.0,4.0,101300.0,business,26,0
rural,6,8420.22,15566.92,24315.57,10747.74,11905.14,18602.77,daily-wage,28,2,41.0,1578.68,11.0,0.0,5,12,6.0,15.0,2019.0,360.01,1.37,0.0,,,1.0,3.0,3.0,,2.0,,3.0,3.0,456700.0,business,40,0
migrant,2,19831.46,23108.29,25730.22,19013.8,30271.3,23419.85,daily-wage,9,2,41.7,1948.01,13.0,0.0,13,23,11.0,20.0,2022.0,521.98,1.47,12.0,0.369,0.6292190786417569,3.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,412400.0,education,41,0
migrant,3,36895.05,24865.29,31070.85,29822.32,31853.59,31983.41,self-employed,15,3,85.8,3117.65,20.0,0.0,7,8,9.0,10.0,2012.0,691.53,2.82,13.9,0.191,0.99270073397626,5.0,4.0,2.0,4.0,5.0,4.0,1.0,5.0,431700.0,consumption,20,0
rural,5,14741.92,14807.75,22404.26,15030.96,14516.38,18492.2,daily-wage,36,3,,,,,4,9,9.0,24.0,2014.0,364.78,2.47,6.6,0.287,0.7161419042628191,3.0,3.0,4.0,4.0,3.0,4.0,3.0,5.0,195300.0,business,36,0
migrant,3,23043.29,24285.36,23132.22,22494.75,31732.5,27172.55,self-employed,6,4,60.3,2313.55,,0.0,13,23,7.0,10.0,2021.0,627.21,1.65,4.0,0.308,0.3444491448707167,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,117900.0,education,15,0
gig,4,33468.65,28814.33,13129.61,49714.01,41095.49,11335.35,daily-wage,17,3,55.3,1861.48,8.0,1.0,8,19,,,2024.0,785.24,1.61,6.5,0.299,0.7600457024438444,2.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,268100.0,consumption,32,0
migrant,4,22457.41,17966.56,20954.4,22275.06,19225.08,24502.54,salaried-gig,12,2,28.8,1825.33,12.0,0.0,4,11,5.0,12.0,2021.0,519.42,1.66,8.1,0.345,0.3456997650149237,4.0,3.0,3.0,3.0,3.0,2.0,4.0,2.0,162700.0,business,18,0
gig,3,23049.24,19654.37,20546.81,18664.23,31332.47,42683.56,self-employed,20,2,33.9,1866.04,13.0,1.0,10,20,1.0,8.0,2020.0,500.35,1.61,8.9,0.296,0.2792437879821981,3.0,3.0,3.0,3.0,1.0,2.0,3.0,3.0,283700.0,education,60,0
rural,6,10447.58,14289.16,17661.13,8679.61,11246.83,16902.0,self-employed,27,2,48.6,1920.56,14.0,1.0,2,7,,,2017.0,295.5,1.96,6.8,0.351,0.702934099185826,3.0,3.0,4.0,2.0,2.0,4.0,4.0,2.0,132200.0,consumption,28,0
migrant,3,24996.57,32516.54,31555.22,37203.58,33955.72,32880.13,daily-wage,15,3,79.7,3120.14,,1.0,12,12,,,2020.0,810.98,2.78,11.5,0.155,0.994877984487073,3.0,5.0,2.0,5.0,3.0,5.0,2.0,5.0,454000.0,consumption,45,0
gig,5,19725.32,36674.68,31887.97,8551.73,27736.17,28815.82,salaried-gig,17,3,60.4,1820.09,14.0,1.0,4,14,4.0,7.0,2018.0,555.73,1.27,11.2,0.322,0.7977730399567353,3.0,3.0,3.0,2.0,1.0,,4.0,1.0,278600.0,medical,24,0
rural,6,12664.75,10237.38,17263.76,9389.3,11334.47,16832.25,seasonal,26,3,31.1,1318.08,17.0,0.0,1,8,4.0,10.0,2021.0,153.44,1.36,3.4,0.362,0.4627219348262287,2.0,3.0,4.0,3.0,3.0,2.0,4.0,3.0,134700.0,agriculture,7,0
migrant,4,23771.57,22210.2,25049.04,27311.65,23842.06,33169.46,self-employed,14,3,67.3,1934.89,11.0,0.0,11,12,5.0,9.0,2019.0,592.99,2.49,15.7,0.277,0.4607307165243576,4.0,3.0,2.0,3.0,3.0,4.0,2.0,3.0,401500.0,agriculture,17,0
rural,5,10623.86,10007.17,15302.16,7263.54,11953.67,19043.22,self-employed,25,2,47.1,1230.57,10.0,0.0,5,13,,,2019.0,100.0,1.7,3.1,0.264,0.2461613476127781,2.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,35900.0,medical,19,0
gig,5,15858.15,17961.25,21586.19,16293.84,21468.42,19769.83,self-employed,11,2,10.9,1114.24,18.0,0.0,8,20,4.0,20.0,,598.52,1.03,0.0,,,3.0,1.0,3.0,1.0,3.0,4.0,4.0,3.0,252000.0,consumption,15,1
gig,2,52612.77,29668.79,29646.3,23221.25,18680.65,27231.93,salaried-gig,20,2,48.7,2268.85,12.0,1.0,9,21,13.0,17.0,2017.0,383.95,1.37,6.2,0.292,0.38867153097354,2.0,3.0,3.0,4.0,5.0,4.0,2.0,3.0,200200.0,consumption,47,0
rural,5,13980.88,13485.26,43882.51,16866.55,17190.23,30915.09,seasonal,43,4,65.6,2155.98,17.0,1.0,17,24,14.0,17.0,2015.0,246.25,2.26,0.0,,,4.0,3.0,2.0,4.0,4.0,4.0,1.0,4.0,142500.0,business,29,0
migrant,2,20403.09,22122.28,23163.59,23221.66,12826.66,19720.31,salaried-gig,5,2,40.3,1060.83,10.0,0.0,3,13,7.0,12.0,2022.0,551.74,1.22,9.3,0.358,0.2931036930568867,1.0,3.0,4.0,2.0,2.0,2.0,4.0,3.0,240500.0,education,8,0
gig,5,32383.39,7676.88,24010.61,15587.18,27749.0,21894.54,salaried-gig,8,2,29.8,1376.61,10.0,0.0,2,9,7.0,10.0,2021.0,548.92,0.75,2.2,0.397,0.122787952101039,2.0,3.0,5.0,3.0,2.0,3.0,4.0,3.0,68100.0,consumption,29,0
migrant,2,12031.74,17221.29,17166.4,14739.93,12702.22,16123.32,salaried-gig,4,1,13.3,1197.64,7.0,0.0,3,13,1.0,18.0,2023.0,336.43,0.5,2.6,0.438,0.0162851955871555,2.0,1.0,4.0,2.0,1.0,1.0,4.0,2.0,83300.0,education,59,0
gig,2,31752.56,29441.87,30692.19,10062.41,24546.37,32538.0,salaried-gig,17,4,54.7,1944.41,18.0,1.0,7,11,2.0,6.0,2021.0,448.54,2.41,12.3,0.267,0.9875877467169316,4.0,4.0,3.0,,3.0,3.0,2.0,5.0,312900.0,medical,13,0
gig,3,56681.98,35987.65,31393.72,38814.86,33346.98,30053.31,salaried-gig,23,3,59.8,2273.3,10.0,1.0,9,20,3.0,10.0,2014.0,543.07,1.61,8.9,0.269,0.7492067237695633,3.0,3.0,2.0,3.0,4.0,3.0,4.0,2.0,345600.0,consumption,26,0
gig,4,29205.79,57696.05,43882.17,11086.39,46094.65,38136.8,salaried-gig,13,3,85.0,2605.42,21.0,1.0,14,14,4.0,8.0,2018.0,600.83,2.11,9.1,0.254,0.482541057095835,2.0,3.0,1.0,4.0,3.0,3.0,3.0,3.0,275800.0,business,40,0
migrant,2,20770.27,8639.6,17213.08,12648.66,20238.22,16906.21,salaried-gig,7,2,41.8,1145.94,6.0,0.0,8,17,6.0,23.0,2022.0,500.3,0.99,3.7,0.483,0.2289696564747044,3.0,2.0,5.0,2.0,2.0,1.0,5.0,3.0,403600.0,education,35,1
migrant,3,21029.72,19523.07,17583.44,21286.8,17784.79,17004.65,daily-wage,12,2,29.8,1503.41,9.0,0.0,7,24,2.0,14.0,2019.0,666.05,1.03,7.0,0.376,0.1683518739777977,4.0,3.0,3.0,2.0,2.0,3.0,4.0,2.0,32500.0,agriculture,7,0
rural,6,12290.72,13631.81,21910.19,10053.19,15906.88,18303.04,seasonal,36,3,48.5,2419.62,24.0,0.0,9,15,12.0,16.0,2017.0,362.3,2.01,0.0,,,3.0,3.0,2.0,5.0,3.0,2.0,3.0,4.0,111500.0,medical,43,0
gig,5,43948.9,22759.68,20066.12,26829.65,24486.81,35250.94,salaried-gig,21,4,74.8,1959.49,19.0,0.0,9,24,,,2020.0,557.68,2.22,5.2,0.274,0.2397365093337109,2.0,2.0,3.0,4.0,3.0,,2.0,4.0,493200.0,business,29,0
gig,2,22980.54,33600.33,32097.71,41540.79,33469.68,38690.92,self-employed,17,3,68.8,2235.81,18.0,1.0,15,17,14.0,23.0,,649.12,2.12,4.8,0.229,0.9875396749488752,2.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,492500.0,consumption,19,0
migrant,4,21510.41,23056.02,18468.83,26230.69,22292.91,19207.78,daily-wage,6,1,,1572.1,16.0,0.0,4,13,12.0,24.0,,518.76,1.33,4.5,0.41,0.3181106047368929,2.0,2.0,4.0,3.0,2.0,2.0,2.0,2.0,325400.0,consumption,21,0
rural,4,13159.46,12007.13,21393.83,11848.74,11918.47,18101.73,self-employed,29,2,,,,,8,17,8.0,12.0,2018.0,418.08,1.72,0.0,,,2.0,3.0,2.0,4.0,3.0,,4.0,3.0,433700.0,business,50,0
migrant,2,24712.06,14938.34,17421.7,20694.19,20930.73,18550.85,salaried-gig,6,2,31.7,1159.4,5.0,0.0,3,8,1.0,15.0,2022.0,464.49,1.85,7.7,0.295,0.3629842360050426,2.0,3.0,2.0,3.0,4.0,2.0,3.0,3.0,237500.0,business,52,0
rural,5,11557.49,12071.46,19638.8,7903.28,6943.89,14815.49,self-employed,35,2,,,,,2,17,,,2018.0,268.34,1.88,0.0,,,3.0,2.0,4.0,2.0,2.0,3.0,2.0,3.0,189000.0,business,38,1
gig,3,36817.61,44321.94,38748.59,44109.11,33824.55,38796.47,daily-wage,27,3,34.7,2575.43,22.0,0.0,8,20,6.0,20.0,2022.0,626.31,2.2,8.9,0.324,0.7950133289952414,3.0,4.0,3.0,3.0,5.0,,2.0,3.0,214300.0,business,26,0
rural,6,10832.87,11076.49,18778.62,13564.65,10773.39,17258.53,seasonal,22,3,,,,,7,17,17.0,21.0,2019.0,162.63,1.83,0.0,,,3.0,4.0,4.0,2.0,2.0,2.0,3.0,1.0,111400.0,agriculture,33,0
gig,4,19390.53,22890.38,9993.66,50464.05,17498.51,40024.63,salaried-gig,32,4,57.1,2634.29,16.0,1.0,8,19,7.0,11.0,2020.0,737.89,1.71,5.3,0.265,0.698479940604029,4.0,4.0,3.0,4.0,4.0,4.0,2.0,4.0,213500.0,medical,12,0
rural,5,11940.9,11796.1,20655.63,8926.8,13034.56,19955.05,self-employed,37,3,,,,,11,23,,,2017.0,218.75,1.16,0.0,,,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,210200.0,agriculture,24,0
rural,5,15816.88,17352.59,27559.31,17621.7,19127.45,34668.97,seasonal,48,4,78.0,2128.58,19.0,1.0,10,15,,,2018.0,364.93,2.57,0.0,,,3.0,4.0,2.0,4.0,3.0,4.0,2.0,4.0,467500.0,business,42,0
rural,6,11915.08,11657.92,17403.02,12154.28,14579.35,20182.15,self-employed,33,2,45.4,1388.23,16.0,0.0,3,13,,,2018.0,277.89,2.43,0.0,,,2.0,3.0,3.0,4.0,2.0,4.0,3.0,3.0,132400.0,education,39,0
gig,4,41583.89,40300.99,48810.06,65167.16,51408.45,48049.07,self-employed,29,4,96.7,2396.16,24.0,0.0,5,6,9.0,12.0,2013.0,702.79,2.29,10.9,0.138,0.7941757081216886,3.0,4.0,2.0,4.0,4.0,4.0,1.0,4.0,230000.0,consumption,12,0
gig,5,18282.79,33864.72,28362.26,23365.83,16850.65,26401.79,salaried-gig,15,2,30.5,1365.65,8.0,0.0,2,12,,,,483.13,1.25,0.5,0.403,0.6301440753738163,3.0,2.0,3.0,3.0,2.0,3.0,4.0,3.0,304700.0,business,25,0
rural,7,12169.78,12509.51,22764.85,13568.12,13288.35,27067.07,seasonal,34,2,,,,,8,22,8.0,19.0,2018.0,290.5,1.15,0.0,,,3.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,186500.0,education,44,1
gig,3,31767.4,28569.63,32631.85,20463.46,16515.01,40829.0,salaried-gig,28,4,50.5,2434.17,17.0,1.0,16,24,,,2015.0,536.06,1.92,5.7,0.37,0.7741601056453842,3.0,3.0,4.0,3.0,3.0,3.0,2.0,2.0,241600.0,business,38,0
rural,5,10753.15,11201.33,17133.28,11152.74,8926.67,20616.85,seasonal,28,2,16.1,1513.95,8.0,0.0,2,21,4.0,9.0,2017.0,386.7,2.29,0.0,,,2.0,3.0,4.0,2.0,2.0,4.0,3.0,4.0,427500.0,agriculture,22,1
migrant,1,24249.81,34161.24,27132.8,29430.48,32788.63,31893.7,self-employed,15,2,82.0,2509.67,26.0,1.0,1,19,10.0,16.0,2022.0,535.75,1.9,7.4,0.294,0.9151495633049562,3.0,3.0,2.0,3.0,3.0,4.0,3.0,4.0,375900.0,consumption,38,0
gig,4,16440.74,40155.18,20563.44,26785.9,8522.91,30325.13,self-employed,19,3,32.6,1226.68,1.0,1.0,7,13,2.0,6.0,2018.0,416.52,1.24,8.9,0.37,0.5933480209945219,3.0,2.0,2.0,3.0,4.0,4.0,3.0,3.0,108600.0,consumption,33,0
rural,5,13051.48,13507.95,19827.72,7752.53,12786.69,16080.68,daily-wage,33,1,,,,,13,20,4.0,9.0,2017.0,327.13,1.79,9.4,0.302,0.4230140807433294,3.0,3.0,4.0,3.0,2.0,3.0,2.0,3.0,184900.0,agriculture,9,0
rural,5,10350.11,11739.99,13460.0,11249.99,12424.5,21360.56,seasonal,21,3,43.6,1451.08,16.0,0.0,6,12,,,2018.0,352.68,0.81,4.7,0.359,0.3911027872630839,3.0,3.0,4.0,3.0,3.0,1.0,4.0,4.0,177200.0,consumption,60,0
gig,2,13270.37,22727.99,13639.72,24414.48,50706.94,47949.6,salaried-gig,31,3,72.1,2597.7,11.0,0.0,20,22,4.0,7.0,2021.0,603.13,2.26,11.1,0.197,0.9239669025850796,4.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,191200.0,consumption,52,0
gig,4,52093.37,23702.26,28697.73,39176.32,26795.83,19588.68,daily-wage,20,4,60.6,1507.46,20.0,0.0,15,19,,,2019.0,459.97,1.33,11.6,0.277,0.2965034246910718,4.0,3.0,3.0,3.0,3.0,4.0,4.0,2.0,487600.0,medical,24,0
gig,4,32547.18,23427.78,12252.76,40345.87,32597.86,12612.95,salaried-gig,19,4,36.1,2193.23,16.0,0.0,10,18,4.0,9.0,2021.0,527.0,1.94,16.1,0.302,0.2106719694487508,4.0,4.0,2.0,2.0,3.0,3.0,1.0,3.0,52800.0,education,40,0
migrant,2,34110.07,29289.46,29014.05,33254.39,31054.64,31568.53,self-employed,13,3,97.8,2783.95,21.0,0.0,8,13,3.0,14.0,2019.0,593.3,2.15,11.1,0.207,0.412682833695167,4.0,4.0,2.0,4.0,4.0,3.0,1.0,4.0,20600.0,consumption,7,0
rural,6,6352.85,6430.31,17084.45,7869.78,5673.29,11073.43,seasonal,18,1,,,,,2,14,1.0,24.0,2021.0,199.18,0.89,0.0,,,1.0,2.0,4.0,,1.0,3.0,3.0,2.0,10100.0,consumption,49,1
gig,2,20473.36,29035.45,24812.78,23800.42,11744.98,22354.47,salaried-gig,2,2,29.0,1093.05,5.0,0.0,0,19,,,2021.0,492.8,0.87,5.3,0.468,0.6384432595694651,1.0,3.0,4.0,,2.0,2.0,3.0,3.0,213600.0,education,17,1
rural,5,12186.77,12962.74,28653.83,11296.51,10490.2,18870.27,seasonal,36,2,53.4,2033.98,17.0,0.0,7,15,,,2016.0,306.14,2.09,0.0,,,3.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,349000.0,business,26,0
gig,3,12555.15,38149.49,56751.04,51480.26,65264.47,25003.14,self-employed,33,4,74.7,3258.69,25.0,0.0,13,13,18.0,19.0,2012.0,644.75,2.74,12.5,0.132,0.7313586458740293,5.0,5.0,4.0,4.0,4.0,5.0,1.0,4.0,348900.0,education,38,0
rural,4,14551.01,14383.38,28830.26,10627.04,19744.64,26727.57,seasonal,44,3,,,,,2,15,,,2016.0,295.19,2.39,0.0,,,3.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,246900.0,agriculture,49,1
